Quarter,HB,LengthOfStay,Episodes
2017Q3,The Golden Jubilee National Hospital,16,10
2017Q4,The Golden Jubilee National Hospital,9,5
2018Q1,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,0,0
2018Q3,The Golden Jubilee National Hospital,23,10
2018Q4,The Golden Jubilee National Hospital,5,5
2019Q1,The Golden Jubilee National Hospital,8,5
2019Q2,The Golden Jubilee National Hospital,6,5
2019Q3,The Golden Jubilee National Hospital,15,5
2019Q4,The Golden Jubilee National Hospital,44,10
2020Q1,The Golden Jubilee National Hospital,5,5
2020Q2,The Golden Jubilee National Hospital,14,5
2020Q3,The Golden Jubilee National Hospital,0,5
2020Q4,The Golden Jubilee National Hospital,17,5
2021Q1,The Golden Jubilee National Hospital,21,5
2021Q2,The Golden Jubilee National Hospital,15,5
2021Q3,The Golden Jubilee National Hospital,5,5
2022Q1,The Golden Jubilee National Hospital,5,0
2022Q3,The Golden Jubilee National Hospital,16,5
2017Q3,The Golden Jubilee National Hospital,132,18
2017Q4,The Golden Jubilee National Hospital,35,17
2018Q1,The Golden Jubilee National Hospital,55,21
2018Q2,The Golden Jubilee National Hospital,42,17
2018Q3,The Golden Jubilee National Hospital,67,25
2018Q4,The Golden Jubilee National Hospital,49,23
2019Q1,The Golden Jubilee National Hospital,103,26
2019Q2,The Golden Jubilee National Hospital,72,20
2019Q3,The Golden Jubilee National Hospital,335,20
2019Q4,The Golden Jubilee National Hospital,50,10
2020Q1,The Golden Jubilee National Hospital,46,15
2020Q2,The Golden Jubilee National Hospital,44,10
2020Q3,The Golden Jubilee National Hospital,95,20
2020Q4,The Golden Jubilee National Hospital,103,15
2021Q1,The Golden Jubilee National Hospital,72,15
2021Q2,The Golden Jubilee National Hospital,39,15
2021Q3,The Golden Jubilee National Hospital,59,15
2021Q4,The Golden Jubilee National Hospital,86,22
2022Q1,The Golden Jubilee National Hospital,40,12
2022Q2,The Golden Jubilee National Hospital,100,15
2022Q3,The Golden Jubilee National Hospital,66,14
2017Q3,The Golden Jubilee National Hospital,99,30
2017Q4,The Golden Jubilee National Hospital,131,20
2018Q1,The Golden Jubilee National Hospital,64,30
2018Q2,The Golden Jubilee National Hospital,62,28
2018Q3,The Golden Jubilee National Hospital,37,23
2018Q4,The Golden Jubilee National Hospital,73,34
2019Q1,The Golden Jubilee National Hospital,42,30
2019Q2,The Golden Jubilee National Hospital,88,39
2019Q3,The Golden Jubilee National Hospital,41,21
2019Q4,The Golden Jubilee National Hospital,60,15
2020Q1,The Golden Jubilee National Hospital,56,18
2020Q2,The Golden Jubilee National Hospital,47,12
2020Q3,The Golden Jubilee National Hospital,58,15
2020Q4,The Golden Jubilee National Hospital,128,31
2021Q1,The Golden Jubilee National Hospital,81,29
2021Q2,The Golden Jubilee National Hospital,108,19
2021Q3,The Golden Jubilee National Hospital,67,15
2021Q4,The Golden Jubilee National Hospital,80,24
2022Q1,The Golden Jubilee National Hospital,64,24
2022Q2,The Golden Jubilee National Hospital,74,25
2022Q3,The Golden Jubilee National Hospital,82,20
2017Q3,The Golden Jubilee National Hospital,129,55
2017Q4,The Golden Jubilee National Hospital,114,52
2018Q1,The Golden Jubilee National Hospital,157,60
2018Q2,The Golden Jubilee National Hospital,211,54
2018Q3,The Golden Jubilee National Hospital,166,64
2018Q4,The Golden Jubilee National Hospital,182,72
2019Q1,The Golden Jubilee National Hospital,164,51
2019Q2,The Golden Jubilee National Hospital,211,59
2019Q3,The Golden Jubilee National Hospital,174,50
2019Q4,The Golden Jubilee National Hospital,294,30
2020Q1,The Golden Jubilee National Hospital,124,37
2020Q2,The Golden Jubilee National Hospital,61,20
2020Q3,The Golden Jubilee National Hospital,227,47
2020Q4,The Golden Jubilee National Hospital,137,39
2021Q1,The Golden Jubilee National Hospital,192,55
2021Q2,The Golden Jubilee National Hospital,165,55
2021Q3,The Golden Jubilee National Hospital,203,50
2021Q4,The Golden Jubilee National Hospital,202,54
2022Q1,The Golden Jubilee National Hospital,203,48
2022Q2,The Golden Jubilee National Hospital,149,40
2022Q3,The Golden Jubilee National Hospital,147,51
2017Q3,The Golden Jubilee National Hospital,654,156
2017Q4,The Golden Jubilee National Hospital,555,173
2018Q1,The Golden Jubilee National Hospital,812,165
2018Q2,The Golden Jubilee National Hospital,576,147
2018Q3,The Golden Jubilee National Hospital,680,188
2018Q4,The Golden Jubilee National Hospital,581,210
2019Q1,The Golden Jubilee National Hospital,535,173
2019Q2,The Golden Jubilee National Hospital,425,149
2019Q3,The Golden Jubilee National Hospital,635,144
2019Q4,The Golden Jubilee National Hospital,692,144
2020Q1,The Golden Jubilee National Hospital,576,143
2020Q2,The Golden Jubilee National Hospital,339,57
2020Q3,The Golden Jubilee National Hospital,579,112
2020Q4,The Golden Jubilee National Hospital,485,142
2021Q1,The Golden Jubilee National Hospital,552,148
2021Q2,The Golden Jubilee National Hospital,458,140
2021Q3,The Golden Jubilee National Hospital,696,150
2021Q4,The Golden Jubilee National Hospital,675,141
2022Q1,The Golden Jubilee National Hospital,581,151
2022Q2,The Golden Jubilee National Hospital,388,130
2022Q3,The Golden Jubilee National Hospital,639,152
2017Q3,The Golden Jubilee National Hospital,1154,286
2017Q4,The Golden Jubilee National Hospital,1051,274
2018Q1,The Golden Jubilee National Hospital,1307,299
2018Q2,The Golden Jubilee National Hospital,1252,299
2018Q3,The Golden Jubilee National Hospital,1191,302
2018Q4,The Golden Jubilee National Hospital,1087,301
2019Q1,The Golden Jubilee National Hospital,958,279
2019Q2,The Golden Jubilee National Hospital,1063,291
2019Q3,The Golden Jubilee National Hospital,1165,292
2019Q4,The Golden Jubilee National Hospital,1147,271
2020Q1,The Golden Jubilee National Hospital,876,234
2020Q2,The Golden Jubilee National Hospital,379,77
2020Q3,The Golden Jubilee National Hospital,706,167
2020Q4,The Golden Jubilee National Hospital,902,234
2021Q1,The Golden Jubilee National Hospital,1155,257
2021Q2,The Golden Jubilee National Hospital,1140,249
2021Q3,The Golden Jubilee National Hospital,888,222
2021Q4,The Golden Jubilee National Hospital,1197,246
2022Q1,The Golden Jubilee National Hospital,886,224
2022Q2,The Golden Jubilee National Hospital,1008,213
2022Q3,The Golden Jubilee National Hospital,1019,252
2017Q3,The Golden Jubilee National Hospital,1264,289
2017Q4,The Golden Jubilee National Hospital,1789,303
2018Q1,The Golden Jubilee National Hospital,1458,275
2018Q2,The Golden Jubilee National Hospital,1547,323
2018Q3,The Golden Jubilee National Hospital,1535,322
2018Q4,The Golden Jubilee National Hospital,1353,303
2019Q1,The Golden Jubilee National Hospital,1275,304
2019Q2,The Golden Jubilee National Hospital,1463,312
2019Q3,The Golden Jubilee National Hospital,1234,292
2019Q4,The Golden Jubilee National Hospital,1444,296
2020Q1,The Golden Jubilee National Hospital,1153,253
2020Q2,The Golden Jubilee National Hospital,573,59
2020Q3,The Golden Jubilee National Hospital,968,142
2020Q4,The Golden Jubilee National Hospital,1166,268
2021Q1,The Golden Jubilee National Hospital,1325,264
2021Q2,The Golden Jubilee National Hospital,1219,282
2021Q3,The Golden Jubilee National Hospital,1535,252
2021Q4,The Golden Jubilee National Hospital,1120,237
2022Q1,The Golden Jubilee National Hospital,1039,224
2022Q2,The Golden Jubilee National Hospital,1382,274
2022Q3,The Golden Jubilee National Hospital,1197,268
2017Q3,The Golden Jubilee National Hospital,449,68
2017Q4,The Golden Jubilee National Hospital,524,81
2018Q1,The Golden Jubilee National Hospital,549,83
2018Q2,The Golden Jubilee National Hospital,415,83
2018Q3,The Golden Jubilee National Hospital,672,82
2018Q4,The Golden Jubilee National Hospital,422,90
2019Q1,The Golden Jubilee National Hospital,474,96
2019Q2,The Golden Jubilee National Hospital,325,78
2019Q3,The Golden Jubilee National Hospital,417,96
2019Q4,The Golden Jubilee National Hospital,714,95
2020Q1,The Golden Jubilee National Hospital,552,75
2020Q2,The Golden Jubilee National Hospital,140,18
2020Q3,The Golden Jubilee National Hospital,146,40
2020Q4,The Golden Jubilee National Hospital,439,73
2021Q1,The Golden Jubilee National Hospital,402,84
2021Q2,The Golden Jubilee National Hospital,387,89
2021Q3,The Golden Jubilee National Hospital,415,79
2021Q4,The Golden Jubilee National Hospital,400,77
2022Q1,The Golden Jubilee National Hospital,364,72
2022Q2,The Golden Jubilee National Hospital,548,105
2022Q3,The Golden Jubilee National Hospital,484,74
2017Q3,The Golden Jubilee National Hospital,18,0
2017Q4,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,22,5
2018Q3,The Golden Jubilee National Hospital,21,0
2019Q1,The Golden Jubilee National Hospital,15,5
2019Q2,The Golden Jubilee National Hospital,54,5
2019Q3,The Golden Jubilee National Hospital,5,5
2019Q4,The Golden Jubilee National Hospital,18,5
2020Q1,The Golden Jubilee National Hospital,15,5
2021Q1,The Golden Jubilee National Hospital,0,0
2021Q2,The Golden Jubilee National Hospital,20,5
2021Q3,The Golden Jubilee National Hospital,0,0
2021Q4,The Golden Jubilee National Hospital,56,0
2022Q1,The Golden Jubilee National Hospital,26,5
2022Q2,The Golden Jubilee National Hospital,17,0
2022Q3,The Golden Jubilee National Hospital,9,5
2017Q3,The Golden Jubilee National Hospital,46,10
2017Q4,The Golden Jubilee National Hospital,21,5
2018Q1,The Golden Jubilee National Hospital,25,5
2018Q2,The Golden Jubilee National Hospital,21,5
2018Q3,The Golden Jubilee National Hospital,49,5
2018Q4,The Golden Jubilee National Hospital,21,10
2019Q1,The Golden Jubilee National Hospital,17,10
2019Q2,The Golden Jubilee National Hospital,25,10
2019Q3,The Golden Jubilee National Hospital,60,5
2019Q4,The Golden Jubilee National Hospital,8,5
2020Q1,The Golden Jubilee National Hospital,29,5
2020Q3,The Golden Jubilee National Hospital,18,5
2020Q4,The Golden Jubilee National Hospital,13,5
2021Q1,The Golden Jubilee National Hospital,14,5
2021Q2,The Golden Jubilee National Hospital,25,0
2021Q3,The Golden Jubilee National Hospital,64,15
2021Q4,The Golden Jubilee National Hospital,9,5
2022Q1,The Golden Jubilee National Hospital,73,5
2022Q2,The Golden Jubilee National Hospital,31,5
2022Q3,The Golden Jubilee National Hospital,6,0
2017Q3,The Golden Jubilee National Hospital,186,15
2017Q4,The Golden Jubilee National Hospital,90,30
2018Q1,The Golden Jubilee National Hospital,105,20
2018Q2,The Golden Jubilee National Hospital,138,24
2018Q3,The Golden Jubilee National Hospital,73,25
2018Q4,The Golden Jubilee National Hospital,153,32
2019Q1,The Golden Jubilee National Hospital,171,30
2019Q2,The Golden Jubilee National Hospital,60,10
2019Q3,The Golden Jubilee National Hospital,66,20
2019Q4,The Golden Jubilee National Hospital,83,20
2020Q1,The Golden Jubilee National Hospital,55,15
2020Q2,The Golden Jubilee National Hospital,32,5
2020Q3,The Golden Jubilee National Hospital,71,18
2020Q4,The Golden Jubilee National Hospital,111,15
2021Q1,The Golden Jubilee National Hospital,49,15
2021Q2,The Golden Jubilee National Hospital,160,20
2021Q3,The Golden Jubilee National Hospital,44,15
2021Q4,The Golden Jubilee National Hospital,78,25
2022Q1,The Golden Jubilee National Hospital,55,15
2022Q2,The Golden Jubilee National Hospital,102,20
2022Q3,The Golden Jubilee National Hospital,129,10
2017Q3,The Golden Jubilee National Hospital,134,33
2017Q4,The Golden Jubilee National Hospital,116,27
2018Q1,The Golden Jubilee National Hospital,108,35
2018Q2,The Golden Jubilee National Hospital,91,32
2018Q3,The Golden Jubilee National Hospital,61,25
2018Q4,The Golden Jubilee National Hospital,86,37
2019Q1,The Golden Jubilee National Hospital,152,45
2019Q2,The Golden Jubilee National Hospital,114,23
2019Q3,The Golden Jubilee National Hospital,70,15
2019Q4,The Golden Jubilee National Hospital,70,20
2020Q1,The Golden Jubilee National Hospital,67,25
2020Q2,The Golden Jubilee National Hospital,101,13
2020Q3,The Golden Jubilee National Hospital,74,20
2020Q4,The Golden Jubilee National Hospital,44,20
2021Q1,The Golden Jubilee National Hospital,86,30
2021Q2,The Golden Jubilee National Hospital,101,25
2021Q3,The Golden Jubilee National Hospital,121,30
2021Q4,The Golden Jubilee National Hospital,168,25
2022Q1,The Golden Jubilee National Hospital,150,35
2022Q2,The Golden Jubilee National Hospital,132,25
2022Q3,The Golden Jubilee National Hospital,94,25
2017Q3,The Golden Jubilee National Hospital,158,46
2017Q4,The Golden Jubilee National Hospital,200,51
2018Q1,The Golden Jubilee National Hospital,309,81
2018Q2,The Golden Jubilee National Hospital,242,57
2018Q3,The Golden Jubilee National Hospital,315,70
2018Q4,The Golden Jubilee National Hospital,305,72
2019Q1,The Golden Jubilee National Hospital,276,83
2019Q2,The Golden Jubilee National Hospital,147,50
2019Q3,The Golden Jubilee National Hospital,333,44
2019Q4,The Golden Jubilee National Hospital,183,46
2020Q1,The Golden Jubilee National Hospital,258,48
2020Q2,The Golden Jubilee National Hospital,112,20
2020Q3,The Golden Jubilee National Hospital,157,47
2020Q4,The Golden Jubilee National Hospital,318,49
2021Q1,The Golden Jubilee National Hospital,179,52
2021Q2,The Golden Jubilee National Hospital,196,52
2021Q3,The Golden Jubilee National Hospital,304,50
2021Q4,The Golden Jubilee National Hospital,185,40
2022Q1,The Golden Jubilee National Hospital,325,59
2022Q2,The Golden Jubilee National Hospital,199,46
2022Q3,The Golden Jubilee National Hospital,160,49
2017Q3,The Golden Jubilee National Hospital,654,167
2017Q4,The Golden Jubilee National Hospital,1007,207
2018Q1,The Golden Jubilee National Hospital,797,212
2018Q2,The Golden Jubilee National Hospital,842,225
2018Q3,The Golden Jubilee National Hospital,940,212
2018Q4,The Golden Jubilee National Hospital,712,197
2019Q1,The Golden Jubilee National Hospital,711,207
2019Q2,The Golden Jubilee National Hospital,644,172
2019Q3,The Golden Jubilee National Hospital,594,146
2019Q4,The Golden Jubilee National Hospital,927,186
2020Q1,The Golden Jubilee National Hospital,873,181
2020Q2,The Golden Jubilee National Hospital,352,83
2020Q3,The Golden Jubilee National Hospital,483,115
2020Q4,The Golden Jubilee National Hospital,877,143
2021Q1,The Golden Jubilee National Hospital,663,150
2021Q2,The Golden Jubilee National Hospital,805,156
2021Q3,The Golden Jubilee National Hospital,643,138
2021Q4,The Golden Jubilee National Hospital,697,168
2022Q1,The Golden Jubilee National Hospital,888,137
2022Q2,The Golden Jubilee National Hospital,612,153
2022Q3,The Golden Jubilee National Hospital,695,143
2017Q3,The Golden Jubilee National Hospital,1407,321
2017Q4,The Golden Jubilee National Hospital,1751,345
2018Q1,The Golden Jubilee National Hospital,1313,320
2018Q2,The Golden Jubilee National Hospital,1457,303
2018Q3,The Golden Jubilee National Hospital,1676,327
2018Q4,The Golden Jubilee National Hospital,1368,355
2019Q1,The Golden Jubilee National Hospital,1439,336
2019Q2,The Golden Jubilee National Hospital,1336,312
2019Q3,The Golden Jubilee National Hospital,1592,321
2019Q4,The Golden Jubilee National Hospital,1823,326
2020Q1,The Golden Jubilee National Hospital,1241,306
2020Q2,The Golden Jubilee National Hospital,845,132
2020Q3,The Golden Jubilee National Hospital,2978,196
2020Q4,The Golden Jubilee National Hospital,1367,275
2021Q1,The Golden Jubilee National Hospital,1275,277
2021Q2,The Golden Jubilee National Hospital,1718,288
2021Q3,The Golden Jubilee National Hospital,1287,259
2021Q4,The Golden Jubilee National Hospital,1287,270
2022Q1,The Golden Jubilee National Hospital,1360,273
2022Q2,The Golden Jubilee National Hospital,1143,260
2022Q3,The Golden Jubilee National Hospital,1320,286
2017Q3,The Golden Jubilee National Hospital,1864,309
2017Q4,The Golden Jubilee National Hospital,1841,325
2018Q1,The Golden Jubilee National Hospital,1444,314
2018Q2,The Golden Jubilee National Hospital,1708,322
2018Q3,The Golden Jubilee National Hospital,1750,321
2018Q4,The Golden Jubilee National Hospital,1869,295
2019Q1,The Golden Jubilee National Hospital,1353,329
2019Q2,The Golden Jubilee National Hospital,1572,303
2019Q3,The Golden Jubilee National Hospital,1866,298
2019Q4,The Golden Jubilee National Hospital,1601,268
2020Q1,The Golden Jubilee National Hospital,1844,290
2020Q2,The Golden Jubilee National Hospital,893,119
2020Q3,The Golden Jubilee National Hospital,1137,182
2020Q4,The Golden Jubilee National Hospital,1641,290
2021Q1,The Golden Jubilee National Hospital,1319,246
2021Q2,The Golden Jubilee National Hospital,1676,264
2021Q3,The Golden Jubilee National Hospital,1244,254
2021Q4,The Golden Jubilee National Hospital,1413,247
2022Q1,The Golden Jubilee National Hospital,1191,260
2022Q2,The Golden Jubilee National Hospital,1840,241
2022Q3,The Golden Jubilee National Hospital,1398,277
2017Q3,The Golden Jubilee National Hospital,350,60
2017Q4,The Golden Jubilee National Hospital,472,65
2018Q1,The Golden Jubilee National Hospital,494,62
2018Q2,The Golden Jubilee National Hospital,466,82
2018Q3,The Golden Jubilee National Hospital,446,80
2018Q4,The Golden Jubilee National Hospital,397,75
2019Q1,The Golden Jubilee National Hospital,487,81
2019Q2,The Golden Jubilee National Hospital,484,86
2019Q3,The Golden Jubilee National Hospital,557,85
2019Q4,The Golden Jubilee National Hospital,446,80
2020Q1,The Golden Jubilee National Hospital,314,60
2020Q2,The Golden Jubilee National Hospital,118,23
2020Q3,The Golden Jubilee National Hospital,227,47
2020Q4,The Golden Jubilee National Hospital,313,75
2021Q1,The Golden Jubilee National Hospital,556,78
2021Q2,The Golden Jubilee National Hospital,429,78
2021Q3,The Golden Jubilee National Hospital,396,67
2021Q4,The Golden Jubilee National Hospital,246,58
2022Q1,The Golden Jubilee National Hospital,331,70
2022Q2,The Golden Jubilee National Hospital,439,71
2022Q3,The Golden Jubilee National Hospital,386,74
2017Q3,The Golden Jubilee National Hospital,9,0
2018Q2,The Golden Jubilee National Hospital,7,5
2018Q3,The Golden Jubilee National Hospital,26,5
2018Q4,The Golden Jubilee National Hospital,9,0
2019Q1,The Golden Jubilee National Hospital,7,5
2019Q2,The Golden Jubilee National Hospital,0,0
2019Q3,The Golden Jubilee National Hospital,10,0
2019Q4,The Golden Jubilee National Hospital,7,5
2020Q1,The Golden Jubilee National Hospital,7,5
2020Q2,The Golden Jubilee National Hospital,0,0
2020Q3,The Golden Jubilee National Hospital,0,0
2020Q4,The Golden Jubilee National Hospital,0,0
2021Q2,The Golden Jubilee National Hospital,11,5
2021Q3,The Golden Jubilee National Hospital,7,0
2021Q4,The Golden Jubilee National Hospital,6,5
2022Q1,The Golden Jubilee National Hospital,5,0
2022Q2,The Golden Jubilee National Hospital,5,5
2022Q3,The Golden Jubilee National Hospital,24,0
2017Q3,The Golden Jubilee National Hospital,16,10
2017Q4,The Golden Jubilee National Hospital,9,5
2018Q1,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,0,0
2018Q3,The Golden Jubilee National Hospital,23,10
2018Q4,The Golden Jubilee National Hospital,5,5
2019Q1,The Golden Jubilee National Hospital,8,5
2019Q2,The Golden Jubilee National Hospital,6,5
2019Q3,The Golden Jubilee National Hospital,15,5
2019Q4,The Golden Jubilee National Hospital,44,10
2020Q1,The Golden Jubilee National Hospital,5,5
2020Q2,The Golden Jubilee National Hospital,14,5
2020Q3,The Golden Jubilee National Hospital,0,5
2020Q4,The Golden Jubilee National Hospital,17,5
2021Q1,The Golden Jubilee National Hospital,21,5
2021Q2,The Golden Jubilee National Hospital,15,5
2021Q3,The Golden Jubilee National Hospital,5,5
2022Q1,The Golden Jubilee National Hospital,5,0
2022Q3,The Golden Jubilee National Hospital,16,5
2017Q3,The Golden Jubilee National Hospital,132,18
2017Q4,The Golden Jubilee National Hospital,35,17
2018Q1,The Golden Jubilee National Hospital,55,21
2018Q2,The Golden Jubilee National Hospital,42,17
2018Q3,The Golden Jubilee National Hospital,67,25
2018Q4,The Golden Jubilee National Hospital,49,23
2019Q1,The Golden Jubilee National Hospital,103,26
2019Q2,The Golden Jubilee National Hospital,72,20
2019Q3,The Golden Jubilee National Hospital,335,20
2019Q4,The Golden Jubilee National Hospital,50,10
2020Q1,The Golden Jubilee National Hospital,46,15
2020Q2,The Golden Jubilee National Hospital,44,10
2020Q3,The Golden Jubilee National Hospital,95,20
2020Q4,The Golden Jubilee National Hospital,103,15
2021Q1,The Golden Jubilee National Hospital,72,15
2021Q2,The Golden Jubilee National Hospital,39,15
2021Q3,The Golden Jubilee National Hospital,59,15
2021Q4,The Golden Jubilee National Hospital,86,22
2022Q1,The Golden Jubilee National Hospital,40,12
2022Q2,The Golden Jubilee National Hospital,100,15
2022Q3,The Golden Jubilee National Hospital,66,14
2017Q3,The Golden Jubilee National Hospital,99,30
2017Q4,The Golden Jubilee National Hospital,131,20
2018Q1,The Golden Jubilee National Hospital,64,30
2018Q2,The Golden Jubilee National Hospital,62,28
2018Q3,The Golden Jubilee National Hospital,37,23
2018Q4,The Golden Jubilee National Hospital,73,34
2019Q1,The Golden Jubilee National Hospital,42,30
2019Q2,The Golden Jubilee National Hospital,88,39
2019Q3,The Golden Jubilee National Hospital,41,21
2019Q4,The Golden Jubilee National Hospital,60,15
2020Q1,The Golden Jubilee National Hospital,56,18
2020Q2,The Golden Jubilee National Hospital,47,12
2020Q3,The Golden Jubilee National Hospital,58,15
2020Q4,The Golden Jubilee National Hospital,128,31
2021Q1,The Golden Jubilee National Hospital,81,29
2021Q2,The Golden Jubilee National Hospital,108,19
2021Q3,The Golden Jubilee National Hospital,67,15
2021Q4,The Golden Jubilee National Hospital,80,24
2022Q1,The Golden Jubilee National Hospital,64,24
2022Q2,The Golden Jubilee National Hospital,74,25
2022Q3,The Golden Jubilee National Hospital,82,20
2017Q3,The Golden Jubilee National Hospital,129,55
2017Q4,The Golden Jubilee National Hospital,114,52
2018Q1,The Golden Jubilee National Hospital,157,60
2018Q2,The Golden Jubilee National Hospital,211,54
2018Q3,The Golden Jubilee National Hospital,166,64
2018Q4,The Golden Jubilee National Hospital,182,72
2019Q1,The Golden Jubilee National Hospital,164,51
2019Q2,The Golden Jubilee National Hospital,211,59
2019Q3,The Golden Jubilee National Hospital,174,50
2019Q4,The Golden Jubilee National Hospital,294,30
2020Q1,The Golden Jubilee National Hospital,124,37
2020Q2,The Golden Jubilee National Hospital,61,20
2020Q3,The Golden Jubilee National Hospital,227,47
2020Q4,The Golden Jubilee National Hospital,137,39
2021Q1,The Golden Jubilee National Hospital,192,55
2021Q2,The Golden Jubilee National Hospital,165,55
2021Q3,The Golden Jubilee National Hospital,203,50
2021Q4,The Golden Jubilee National Hospital,202,54
2022Q1,The Golden Jubilee National Hospital,203,48
2022Q2,The Golden Jubilee National Hospital,149,40
2022Q3,The Golden Jubilee National Hospital,147,51
2017Q3,The Golden Jubilee National Hospital,654,156
2017Q4,The Golden Jubilee National Hospital,555,173
2018Q1,The Golden Jubilee National Hospital,812,165
2018Q2,The Golden Jubilee National Hospital,576,147
2018Q3,The Golden Jubilee National Hospital,680,188
2018Q4,The Golden Jubilee National Hospital,581,210
2019Q1,The Golden Jubilee National Hospital,535,173
2019Q2,The Golden Jubilee National Hospital,425,149
2019Q3,The Golden Jubilee National Hospital,635,144
2019Q4,The Golden Jubilee National Hospital,692,144
2020Q1,The Golden Jubilee National Hospital,576,143
2020Q2,The Golden Jubilee National Hospital,339,57
2020Q3,The Golden Jubilee National Hospital,579,112
2020Q4,The Golden Jubilee National Hospital,485,142
2021Q1,The Golden Jubilee National Hospital,552,148
2021Q2,The Golden Jubilee National Hospital,458,140
2021Q3,The Golden Jubilee National Hospital,696,150
2021Q4,The Golden Jubilee National Hospital,675,141
2022Q1,The Golden Jubilee National Hospital,581,151
2022Q2,The Golden Jubilee National Hospital,388,130
2022Q3,The Golden Jubilee National Hospital,639,152
2017Q3,The Golden Jubilee National Hospital,1154,286
2017Q4,The Golden Jubilee National Hospital,1051,274
2018Q1,The Golden Jubilee National Hospital,1307,299
2018Q2,The Golden Jubilee National Hospital,1252,299
2018Q3,The Golden Jubilee National Hospital,1191,302
2018Q4,The Golden Jubilee National Hospital,1087,301
2019Q1,The Golden Jubilee National Hospital,958,279
2019Q2,The Golden Jubilee National Hospital,1063,291
2019Q3,The Golden Jubilee National Hospital,1165,292
2019Q4,The Golden Jubilee National Hospital,1147,271
2020Q1,The Golden Jubilee National Hospital,876,234
2020Q2,The Golden Jubilee National Hospital,379,77
2020Q3,The Golden Jubilee National Hospital,706,167
2020Q4,The Golden Jubilee National Hospital,902,234
2021Q1,The Golden Jubilee National Hospital,1155,257
2021Q2,The Golden Jubilee National Hospital,1140,249
2021Q3,The Golden Jubilee National Hospital,888,222
2021Q4,The Golden Jubilee National Hospital,1197,246
2022Q1,The Golden Jubilee National Hospital,886,224
2022Q2,The Golden Jubilee National Hospital,1008,213
2022Q3,The Golden Jubilee National Hospital,1019,252
2017Q3,The Golden Jubilee National Hospital,1264,289
2017Q4,The Golden Jubilee National Hospital,1789,303
2018Q1,The Golden Jubilee National Hospital,1458,275
2018Q2,The Golden Jubilee National Hospital,1547,323
2018Q3,The Golden Jubilee National Hospital,1535,322
2018Q4,The Golden Jubilee National Hospital,1353,303
2019Q1,The Golden Jubilee National Hospital,1275,304
2019Q2,The Golden Jubilee National Hospital,1463,312
2019Q3,The Golden Jubilee National Hospital,1234,292
2019Q4,The Golden Jubilee National Hospital,1444,296
2020Q1,The Golden Jubilee National Hospital,1153,253
2020Q2,The Golden Jubilee National Hospital,573,59
2020Q3,The Golden Jubilee National Hospital,968,142
2020Q4,The Golden Jubilee National Hospital,1166,268
2021Q1,The Golden Jubilee National Hospital,1325,264
2021Q2,The Golden Jubilee National Hospital,1219,282
2021Q3,The Golden Jubilee National Hospital,1535,252
2021Q4,The Golden Jubilee National Hospital,1120,237
2022Q1,The Golden Jubilee National Hospital,1039,224
2022Q2,The Golden Jubilee National Hospital,1382,274
2022Q3,The Golden Jubilee National Hospital,1197,268
2017Q3,The Golden Jubilee National Hospital,449,68
2017Q4,The Golden Jubilee National Hospital,524,81
2018Q1,The Golden Jubilee National Hospital,549,83
2018Q2,The Golden Jubilee National Hospital,415,83
2018Q3,The Golden Jubilee National Hospital,672,82
2018Q4,The Golden Jubilee National Hospital,422,90
2019Q1,The Golden Jubilee National Hospital,474,96
2019Q2,The Golden Jubilee National Hospital,325,78
2019Q3,The Golden Jubilee National Hospital,417,96
2019Q4,The Golden Jubilee National Hospital,714,95
2020Q1,The Golden Jubilee National Hospital,552,75
2020Q2,The Golden Jubilee National Hospital,140,18
2020Q3,The Golden Jubilee National Hospital,146,40
2020Q4,The Golden Jubilee National Hospital,439,73
2021Q1,The Golden Jubilee National Hospital,402,84
2021Q2,The Golden Jubilee National Hospital,387,89
2021Q3,The Golden Jubilee National Hospital,415,79
2021Q4,The Golden Jubilee National Hospital,400,77
2022Q1,The Golden Jubilee National Hospital,364,72
2022Q2,The Golden Jubilee National Hospital,548,105
2022Q3,The Golden Jubilee National Hospital,484,74
2017Q3,The Golden Jubilee National Hospital,18,0
2017Q4,The Golden Jubilee National Hospital,0,0
2018Q2,The Golden Jubilee National Hospital,22,5
2018Q3,The Golden Jubilee National Hospital,21,0
2019Q1,The Golden Jubilee National Hospital,15,5
2019Q2,The Golden Jubilee National Hospital,54,5
2019Q3,The Golden Jubilee National Hospital,5,5
2019Q4,The Golden Jubilee National Hospital,18,5
2020Q1,The Golden Jubilee National Hospital,15,5
2021Q1,The Golden Jubilee National Hospital,0,0
2021Q2,The Golden Jubilee National Hospital,20,5
2021Q3,The Golden Jubilee National Hospital,0,0
2021Q4,The Golden Jubilee National Hospital,56,0
2022Q1,The Golden Jubilee National Hospital,26,5
2022Q2,The Golden Jubilee National Hospital,17,0
2022Q3,The Golden Jubilee National Hospital,9,5
2017Q3,The Golden Jubilee National Hospital,46,10
2017Q4,The Golden Jubilee National Hospital,21,5
2018Q1,The Golden Jubilee National Hospital,25,5
2018Q2,The Golden Jubilee National Hospital,21,5
2018Q3,The Golden Jubilee National Hospital,49,5
